Rank,Release,Theaters,Total Gross,Release Date,Distributor
412,Meeting Gorbachev,42,251837,5/3/2020,1091 Media
413,The Twilight Zone: A 60th Anniversary Celebration,677,248514,11/14/2020,Fathom Events
414,Doctor Who: The End of Time: Part One,745,247798,8/7/2020,Fathom Events
415,Friendsgiving Day #1,766,246168,11/24/2020,Fathom Events
416,63 Up,28,483684,11/27/2020,BritBox
417,311 Enlarged to Show Detail 3,239,238791,3/11/2020,Trafalgar Releasing
418,Give Me Liberty,18,242734,8/23/2020,Music Box Films
419,American Woman,117,236637,6/14/2020,Roadside Attractions
420,Romeo Akbar Walter,101,236299,4/5/2020,Eros International
421,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,239,232973,9/28/2020,Fathom Events
422,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,426,230703,5/4/2020,Fathom Events
423,Under the Sea 3D,108,36262926,2/13/2020,Warner Bros.
424,Mine 9,29,226421,4/12/2020,-
425,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,194,223858,7/20/2020,Fathom Events
426,Never Surrender: A Galaxy Quest Documentary,556,222971,11/26/2020,Fathom Events
427,First Love,40,218329,9/27/2020,Well Go USA Entertainment
428,"The Gangster, the Cop, the Devil",21,216494,6/7/2020,Well Go USA Entertainment
429,The Karate Kid2019 Re-release,588,215447,3/31/2020,Fathom Events
430,The Possession of Hannah Grace,2298,14837422,11/30/2020,Screen Gems
431,Hamlet2019 Re-release,572,214578,7/8/2020,Fathom Events
432,"Faith, Hope & Love",18,210091,3/15/2020,ArtAffects Entertainment
433,Master Z: The Ip Man Legacy,61,209454,4/12/2020,Well Go USA Entertainment
434,Kathy Griffin: A Hell of a Story,648,208907,7/31/2020,Fathom Events
435,Play the Flute,11,245943,1/28/2020,Five & Two Pictures
436,Bolshoi Ballet: Carmen Suite/Petrushka,362,207523,5/19/2020,Fathom Events
437,The Iron Orchard,42,204881,2/22/2020,-
438,Hesburgh,36,204709,4/26/2020,Music Box Films
439,Venom,4250,213515506,10/5/2020,Sony Pictures Entertainment (SPE)
440,Forrest Gump2019 Re-release,560,203088,6/23/2020,Fathom Events
441,Dabangg 3,294,202000,12/20/2020,Yash Raj Films
442,Blink of an Eye,517,201874,9/12/2020,Fathom Events
443,Friendsgiving Day #2,766,198869,11/25/2020,Fathom Events
444,Chasing the Dragon II: Wild Wild Bunch,16,196634,6/7/2020,Well Go USA Entertainment
445,Family,107,194601,4/19/2020,The Film Arcade
446,A Beautiful Planet,155,15650615,4/29/2020,IMAX
447,Heading Home: The Tale of Team Israel,7,207533,12/14/2020,Menemsha Films
448,Bolshoi Ballet: Le Corsaire,383,190192,11/17/2020,Fathom Events
449,The Divine Plan,,190031,11/6/2020,Fathom Events
450,Pagalpanti,116,423340,11/22/2020,Eros International
451,Mr. KleinRe-release,6,193028,9/6/2020,Rialto Pictures
452,42nd Street - The Musical,515,187440,5/1/2020,Fathom Events
453,The River and the Wall,57,183602,5/3/2020,Gravitas Ventures
454,To Dust,23,184495,2/8/2020,Good Deed Entertainment
455,Giant Little Ones,32,181507,3/1/2020,Vertical Entertainment
456,Raymonda: Bolshoi Ballet,383,181361,10/27/2020,Fathom Events
457,Bolshoi Ballet: Raymondadomestic,383,181361,10/27/2020,Fathom Events
458,Robin Hood,2827,30824628,11/21/2020,Lionsgate
459,The Warrior Queen of Jhansi,277,177289,11/15/2020,Roadside Attractions
460,India's Most Wanted,110,176858,5/24/2020,FIP
461,"Iyengar: The Man, Yoga, and the Student's Journey",11,176387,4/12/2020,Kino Lorber
462,Tigers Are Not Afraid2019 Re-release,19,175559,8/21/2020,Variance Films
463,Marjaavaan,65,174164,11/15/2020,Eros International
464,Ashfall,18,372562,12/19/2020,Capelight Pictures
465,Bolshoi Ballet: The Golden Age,360,171916,4/7/2020,Fathom Events
466,Nureyev: Lifting the Curtain,18,165203,4/19/2020,-
467,Frankie,117,171781,10/25/2020,Sony Pictures Classics
468,Indian Horse,9,2097362,4/13/2020,Elevation Pictures
469,Asbury Park: Riot Redemption Rock 'n Roll,270,167684,5/22/2020,Trafalgar Releasing
470,The Bad Guys: The Movie,11,166972,9/20/2020,CJ Entertainment
471,Bright Ones,614,165627,4/22/2020,Fathom Events
472,Sunset,37,164906,3/22/2020,Sony Pictures Classics
473,INXS: Baby Live at Wembly Stadium,516,161750,12/9/2020,Fathom Events
474,Monty Python's Life of Brian2019 Re-release,125,161507,4/18/2020,Trafalgar Releasing
475,"Diana Ross: Her Life, Love and Legacy",623,160968,3/26/2020,Fathom Events
476,Batman2019 Re-release,489,159419,5/4/2020,Fathom Events
477,Them That Follow,195,159218,8/2/2020,1091 Media
478,Synonyms,13,206003,10/25/2020,Kino Lorber
479,The World Before Your Feet,11,268644,11/21/2020,Greenwich Entertainment
480,Money,11,155732,3/21/2020,CJ Entertainment
481,The Death & Life of John F. Donovan,25,152713,8/23/2020,Entertainment One
482,Halston,30,151991,5/24/2020,The Orchard
483,Peterloo,92,151971,4/5/2020,Amazon Studios
484,Before You Know It,31,151507,8/30/2020,1091 Media
485,Jay Myself,17,151331,7/31/2020,Oscilloscope
486,Glory2019 Re-release,435,150801,7/21/2020,Fathom Events
487,The Samuel Project,2,161565,9/28/2020,-
488,Little Woods,33,150010,4/19/2020,Neon
489,Trial by Fire,109,148504,5/17/2020,Roadside Attractions
490,War and Peace,3,148503,2/15/2020,Janus Films
491,Dogman,12,148225,4/12/2020,Magnolia Pictures
492,Framing John DeLorean,28,145625,6/7/2020,IFC Films
493,Hampstead,18,144396,6/14/2020,IFC Films
494,Doctor Who: Logopolis,428,143248,3/13/2020,Fathom Events
495,Hubble 3D,151,52522904,3/19/2020,Warner Bros.
496,Canelo vs. Kovalev,471,140820,11/2/2020,Fathom Events
497,The Last Resort,13,158646,12/21/2020,Kino Lorber
498,Wilder vs. Ortiz,186,139207,11/23/2020,Fathom Events
499,Who Will Write Our History,6,138039,1/18/2020,Abramorama
500,Rafiki,26,137968,4/19/2020,Film Movement
501,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,,137888,11/7/2020,Fathom Events
502,The Other Story,11,135191,6/28/2020,Strand Releasing
503,Okko's Inn,465,134787,4/22/2020,GKIDS
504,Palau the Movie,135,134696,3/29/2020,Trafalgar Releasing
505,Burning,27,718991,10/26/2020,Well Go USA Entertainment
506,Made in Abyss: Journey's Dawn,573,134047,3/20/2020,Fathom Events
507,Peppa Celebrates Chinese New Year,67,131225,2/6/2020,STX Entertainment
508,Mister America,125,130897,10/9/2020,Magnolia Pictures
509,The Zoya Factor,100,128831,9/20/2020,FIP
510,Woodstock,781,126562,8/15/2020,Fathom Events
511,Paris Is Burning2019 Re-release,6,125677,6/14/2020,Janus Films
512,Lost & Found,6,125173,3/29/2020,-
513,Mary Magdalene2019 Re-release,62,124741,4/12/2020,IFC Films
514,Easy Rider2019 Re-release,252,123276,7/14/2020,Fathom Events
515,Born to Be Wild,208,25978556,4/8/2020,Warner Bros.
516,A Tuba to Cuba,16,121772,2/15/2020,Blue Fox Entertainment
517,Avant qu'on explose,35,119894,3/1/2020,Entertainment One
518,Portrait of a Lady on Fire,334,3759854,12/6/2020,Neon
519,The Fall of the American Empire,73,2178460,6/29/2020,Entertainment One
520,"Ruben Brandt, Collector2018 Re-release",43,117963,2/15/2020,Sony Pictures Classics
521,The Reports on Sarah and Saleem,11,117479,6/12/2020,Dada Films
522,Mob Psycho 100,375,115766,1/5/2020,Fathom Events
523,Police Story,7,113164,2/1/2020,Janus Films
524,Be Natural: The Untold Story of Alice Guy-Blaché,14,115804,4/19/2020,Zeitgeist Films
525,The Kingmaker,18,122587,11/8/2020,Greenwich Entertainment
526,Babylon,9,109749,3/8/2020,Kino Lorber
527,Branagh Theatre Live: The Winter's Tale,106,141143,12/4/2020,Trafalgar Releasing
528,The Audience2019 Re-release,529,106529,6/3/2020,Fathom Events
529,The Brink,124,106057,3/28/2020,Magnolia Pictures
530,"Belle and Sebastian, Friends for Life2018 Re-release",38,105890,1/25/2020,Entertainment One
531,Cold Case Hammarskjöld,15,104965,8/16/2020,Magnolia Pictures
532,Downtown 812019 Re-release,8,122390,10/25/2020,Metrograph Pictures
533,Miss & Mrs. Cops,9,104578,5/10/2020,CJ Entertainment
534,Penguin Highway,168,104567,4/12/2020,Eleven Arts
535,Anthropocene: The Human Epoch,110,104806,9/25/2020,Kino Lorber
536,The Divine Fury,23,102982,8/16/2020,Well Go USA Entertainment
537,Walking on Water,9,102140,5/17/2020,Kino Lorber
538,Mojin: The Worm Valley,17,101516,1/4/2020,Well Go USA Entertainment
539,Wonders of the Sea,266,100780,1/17/2020,Fathom Events
540,Mirai,780,812794,11/29/2020,GKIDS
541,Tazza: One-Eyed Jack,22,97655,9/20/2020,Well Go USA Entertainment
542,The Third Wife,8,84933,5/15/2020,Film Movement
543,The Song of Names,182,1077584,12/25/2020,Sony Pictures Classics
544,The Image Book,33,94153,1/25/2020,Kino Lorber
545,Margaret Atwood: Live in Cinemas,499,93690,9/10/2020,Fathom Events
546,Rojo,7,94757,7/12/2020,Distrib Films
547,Always Miss You,14,91884,5/3/2020,China Lion Film Distribution
548,Mapplethorpe,19,91002,3/1/2020,The Samuel Goldwyn Company
549,The Crossing,28,90896,3/15/2020,CMC Pictures
550,Loopers: The Caddie's Long Walk,68,90679,6/7/2020,Gravitas Ventures
551,My Dear Liar,29,90545,11/8/2020,CMC Pictures Holdings
552,A Bigger Splash2019 Re-release,11,95826,6/21/2020,Metrograph Pictures
553,Sound! Euphonium the Movie - Our Promise: A Brand New Day,445,90341,7/11/2020,Fathom Events
554,Varda by Agnès,10,160765,11/22/2020,Janus Films
555,Take Point,25,112386,12/27/2020,CJ Entertainment
556,Ramen Shop,10,88455,3/22/2020,Strand Releasing
557,The Lumber Baron,11,88336,5/24/2020,Indican Pictures
558,Jim Allison: Breakthrough,10,87984,9/27/2020,Dada Films
559,ECCO,155,86858,8/9/2020,Citadel Film Group
560,Sonchiriya,70,86765,3/1/2020,-
561,The Chambermaid,5,86422,6/28/2020,Kino Lorber
562,National Theater Live: Cyrano de Bergerac,301,86300,1/23/2020,Fathom Events
563,Mayday Life,11,85912,5/31/2020,China Lion Film Distribution
564,Skid Row Marathon,438,84997,10/14/2020,Fathom Events
565,Papi Chulo,16,84703,6/7/2020,Blue Fox Entertainment
566,Woodstock,11,84440,5/24/2020,PBS Distribution
567,Once Upon a Deadpool2018 Re-release,1566,6100309,12/12/2020,Twentieth Century Fox
568,Looking Up,13,84267,7/19/2020,China Lion Film Distribution
569,High Strung Free Dance2019 Re-release,106,83891,10/11/2020,Atlas Distribution Company
570,Ms. Purple,23,80657,9/6/2020,Oscilloscope
571,The Old Man & the Gun,1042,11277120,9/28/2020,Fox Searchlight Pictures
572,Swing Kids,21,222001,12/21/2020,Well Go USA Entertainment
573,Saint Judy,55,78935,3/1/2020,Blue Fox Entertainment
574,The Heiresses,6,78473,1/16/2020,Distrib Films
575,A Faithful Man,6,77491,7/19/2020,Kino Lorber
576,Ploey,20,77815,4/26/2020,Viva Pictures
577,Fast Colour,25,76916,4/19/2020,Lionsgate
578,Christ Stopped at Eboli,3,78736,4/3/2020,Rialto Pictures
579,Triple Threat,12,76289,3/19/2020,Well Go USA Entertainment
580,"Hale County This Morning, This Evening",8,112282,9/14/2020,The Cinema Guild
581,Savage,19,74491,5/3/2020,Well Go USA Entertainment
582,5B,128,72968,6/14/2020,-
583,Working Woman,7,64048,3/27/2020,Zeitgeist Films
584,Cliffs of Freedom,10,72476,3/1/2020,Round Hill Media
585,3 Faces,7,72324,3/8/2020,Kino Lorber
586,Storm Boy,56,71760,4/5/2020,Good Deed Entertainment
587,Free Trip to Egypt2019 Re-release,447,71087,6/12/2020,Fathom Events
588,The Battle of Jangsari,20,70853,10/4/2020,Well Go USA Entertainment
589,Styx2018 Re-release,17,70794,2/27/2020,Film Movement
590,Batman Returns2019 Re-release,507,70642,5/6/2020,Fathom Events
591,Edie,11,71790,9/6/2020,Music Box Films
592,Diamantino,5,70088,5/24/2020,Kino Lorber
593,The Body,78,68196,12/13/2020,Eros International
594,The Silence of Others,6,67986,5/8/2020,Argot Pictures
595,The Divine Move 2: The Wrathful,10,67578,11/15/2020,CJ Entertainment
596,Being Frank,13,67343,6/14/2020,The Film Arcade
597,Cunningham,23,265102,12/13/2020,Magnolia Pictures
598,This Changes Everything,367,64988,7/22/2020,Fathom Events
599,End of the Century,6,66309,8/16/2020,The Cinema Guild
600,Beautiful Boy,776,7649973,10/12/2020,Amazon Studios
601,Sauvage / Wild,7,61604,4/10/2020,Strand Releasing
602,The Mountain,15,61035,7/26/2020,Kino Lorber
603,Last Year at Marienbad2019 Re-release,5,63425,5/17/2020,Janus Films
604,By the Grace of God,11,67059,10/18/2020,Music Box Films
605,John Fogerty: 50 Year Trip - Live at Red Rocks,459,59795,11/11/2020,Fathom Events
606,Mickey and the Bear,22,57188,11/15/2020,Utopia
607,Heavy Water,284,55446,6/13/2020,Fathom Events
608,Maria By Callas,149,1267301,11/2/2020,Sony Pictures Classics
609,The Hate U Give,2375,29719483,10/5/2020,Twentieth Century Fox
610,Plácido Domingo Gala,217,52502,9/7/2020,Fathom Events
611,One Cut of the Dead,7,52406,9/13/2020,Variance Films
612,QT8: The First Eight,459,51896,10/21/2020,Fathom Events
613,Greener Grass,36,51456,10/18/2020,IFC Films
614,"Cyrano, My Love",18,351019,2/8/2020,Roadside Attractions
615,Making Waves: The Art of Cinematic Sound,11,53144,10/25/2020,Matson Films
616,Ophelia,58,50722,6/28/2020,IFC Films
617,Clinton Road,10,50400,6/14/2020,Nocturnal Features
618,"Love, Antosha",10,50168,8/2/2020,-
619,Free Trip to Egypt,5,49693,5/31/2020,-
620,The Bounty Killer,15,48815,1/25/2020,Indican Pictures
621,The Final Wish,150,25183,1/24/2020,Fathom Events
622,The Queen,7,47818,6/28/2020,Kino Lorber
623,Becoming Astrid,16,120486,11/23/2020,Music Box Films
624,Under the Silver Lake,2,46083,4/19/2020,A24
625,Sympathy for the Devil,8,51150,11/29/2020,-
626,¡He matado a mi marido!,11,45777,3/1/2020,Hammond Entertainment
627,High on the Hog,6,45696,4/19/2020,Indican Pictures
628,The Proposal,6,45149,5/24/2020,Oscilloscope
629,What Is Democracy?,6,44536,1/16/2020,Zeitgeist Films
630,Maze2019 Re-release,9,44381,3/22/2020,Lightyear Entertainment
631,American Dharma,11,51891,11/1/2020,Utopia
632,Carmine Street Guitars,5,44253,4/24/2020,Abramorama
633,The Star2019 Re-release,623,43510,12/7/2020,Sony Pictures Entertainment (SPE)
634,Fagara,13,43417,9/13/2020,China Lion Film Distribution
635,Immortal Hero,12,43007,10/18/2020,Freestyle Releasing
636,Vita & Virginia,32,42741,8/23/2020,IFC Films
637,For Sama,4,43796,7/26/2020,PBS Distribution
638,Midnight Traveler,7,41265,9/18/2020,Oscilloscope
639,Clemency,127,364716,12/27/2020,Neon
640,Charlie Says,38,40685,5/10/2020,IFC Films
641,Slut in a Good Way,7,40513,3/28/2020,Comedy Dynamics
642,Aniara,19,40124,5/17/2020,Magnolia Pictures
643,Zilla and Zoe,5,39003,5/17/2020,Indican Pictures
644,Shed of the Dead,10,38901,5/17/2020,Indican Pictures
645,The Raft,8,39678,6/7/2020,Metrograph Pictures
646,The Cave,10,62625,10/18/2020,National Geographic Entertainment
647,Batman Forever2019 Re-release,434,38014,5/12/2020,Fathom Events
648,Union,6,41656,8/2/2020,Indican Pictures
649,The Quiet One,13,37010,6/21/2020,IFC Films
650,The Death of Dick Long,30,36856,9/27/2020,A24
651,The Sower,5,36233,3/1/2020,Film Movement
652,Buñuel in the Labyrinth of the Turtles,8,36205,8/16/2020,GKIDS
653,Yardie,77,36012,3/15/2020,Rialto Pictures
654,Britt-Marie Was Here,11,36549,9/20/2020,Cohen Media Group
655,Loro,11,35613,9/20/2020,IFC Films
656,White Snake,21,34730,11/15/2020,GKIDS
657,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,30,34135,8/5/2020,FUNimation Entertainment
658,The Wild Pear Tree,5,34014,1/30/2020,The Cinema Guild
659,Killer Unicorn,5,33901,6/14/2020,Indican Pictures
660,Moonlight Sonata: Deafness in Three Movements,12,33823,9/13/2020,Abramorama
661,An Elephant Sitting Still,2,32556,3/8/2020,-
662,Knife + Heart,6,32516,3/15/2020,Altered Innocence
663,An Acceptable Loss,25,32427,1/18/2020,IFC Films
664,10E,2,32413,9/27/2020,-
665,Ága,3,35178,9/4/2020,Big World Pictures
666,Desolation Center,10,32016,9/13/2020,Matson Films
667,Gift,10,31588,10/11/2020,Matson Films
668,Buddy,4,31203,3/20/2020,Grasshopper Film
669,Horn from the Heart: The Paul Butterfield Story,2,58597,10/17/2020,Abramorama
670,Pasolini2019 Re-release,4,30757,5/10/2020,Kino Lorber
671,Space Station 3D,64,93383953,4/19/2020,IMAX
672,Sorry Angel,4,30628,2/15/2020,Strand Releasing
673,Los Reyes,4,30418,8/16/2020,Grasshopper Film
674,The Nun,5,30245,1/4/2020,Rialto Pictures
675,Deep Sea,47,46412757,3/3/2020,Warner Bros.
676,Lionel Richie at Glastonbury,288,30123,11/19/2020,Fathom Events
677,The Ground Beneath My Feet,4,29251,7/26/2020,Strand Releasing
678,Vault,2,29491,6/7/2020,-
679,Recorder: The Marion Stokes Project,5,55632,11/15/2020,Zeitgeist Films
680,Batman & Robin2019 Re-release,429,28597,5/14/2020,Fathom Events
681,In the Aisles,6,28394,6/14/2020,Music Box Films
682,Hotel by the River,4,28354,2/15/2020,The Cinema Guild
683,The Wind,30,28252,4/5/2020,IFC Films
684,The Load,2,28410,8/30/2020,Grasshopper Film
685,El Norte2019 Re-release,179,27920,9/15/2020,Fathom Events
686,Kind Hearts and Coronets2019 Re-release,3,35948,11/27/2020,Rialto Pictures
687,"Leaving Home, Coming Home: A Portrait of Robert Frank",3,27073,5/29/2020,Greenwich Entertainment
688,The Day Shall Come,30,26972,9/27/2020,IFC Films
689,Memory: The Origins of Alien,19,31378,10/4/2020,Screen Media Films
690,Wrestle,5,26597,2/22/2020,Oscilloscope
691,Donnybrook,80,26284,2/15/2020,IFC Films
692,Neither Wolf Nor Dog,1,589289,1/20/2020,-
693,Asako I & II,3,25559,5/17/2020,Grasshopper Film
694,Return of the Hero,3,37108,8/30/2020,Distrib Films
695,Invisible Life,18,146535,12/20/2020,Amazon Studios
696,Chasing Einstein,4,24057,9/13/2020,Atlas Distribution Company
697,Vox Lux,325,727119,12/7/2020,Neon
698,Piranhas,10,23494,8/2/2020,Music Box Films
699,Wildlife,105,1050616,10/19/2020,IFC Films
700,Celebration,1,22557,10/2/2020,-
701,Night School,3019,77339130,9/28/2020,Universal Pictures
702,Hyenas,4,24672,4/19/2020,Metrograph Pictures
703,Light from Light,5,24808,11/1/2020,Grasshopper Film
704,Island of Lemurs: Madagascar,302,11272213,4/4/2020,Warner Bros.
705,Jane and Emma,29,380030,10/12/2020,Excel Entertainment
706,Wicked Witches,10,21600,8/9/2020,Nocturnal Features
707,The Hole in the Ground,24,21072,3/1/2020,A24
708,Redoubt,3,33155,11/1/2020,Grasshopper Film
709,The Gospel of Eureka,3,20039,2/8/2020,Kino Lorber
710,The All Americans,5,20324,11/8/2020,Abramorama
711,Light of My Life,68,20056,8/9/2020,Saban Films
712,General Magic,5,20046,5/10/2020,Gravitas Ventures
713,The Sound of Silence,31,20013,9/13/2020,IFC Films
714,Prassthanam,32,19984,9/20/2020,-
715,The Perfect Race,2,29644,10/14/2020,Five & Two Pictures
716,Armstrong,45,19740,7/12/2020,Gravitas Ventures
717,Girls of the Sun,11,19712,4/12/2020,Cohen Media Group
718,Out of Blue,35,18779,3/22/2020,IFC Films
719,Black Mother,4,18762,3/9/2020,Grasshopper Film
720,Before Stonewall,2,18724,6/21/2020,First Run
721,The Return of Martin Guerre2019 Re-release,2,18603,7/5/2020,Cohen Media Group
722,Midnight Diner,13,18555,9/20/2020,Well Go USA Entertainment
723,"Phoenix, OregonPre-Release Tour",6,18356,5/2/2020,Joma Films
724,The Cranes Are Flying,2,17923,7/12/2020,Janus Films
725,The House That Jack Built2018 Re-release,32,87993,12/14/2020,IFC Films
726,Citizen K,15,120411,11/22/2020,Greenwich Entertainment
727,Ode to Joy,16,17303,8/9/2020,IFC Films
728,Scandalous: The True Story of the National Enquirer,13,18759,11/15/2020,Magnolia Pictures
729,Joseph Pulitzer: Voice of the People,5,16970,3/1/2020,First Run
730,Ballon,5,34222,9/6/2020,Distrib Films
731,Too Late to Die Young,4,16591,5/31/2020,-
732,Tremors,6,23911,11/29/2020,Film Movement
733,Chained for Life,3,17431,9/13/2020,Kino International
734,Three Peaks,7,16216,6/28/2020,Greenwich Entertainment
735,Virginia Minnesota,2,16118,3/1/2020,Indican Pictures
736,Piercing,18,15856,2/1/2020,Greenwich Entertainment
737,Starfish,6,15849,3/15/2020,Yellow Veil Pictures
738,Little Joe,12,23862,12/6/2020,Magnolia Pictures
739,To the Arctic 3D,52,14560838,4/20/2020,Warner Bros.
740,A Private War,865,1633208,11/2/2020,Aviron Pictures
741,Airpocalypse,21,105678,12/21/2020,China Lion Film Distribution
742,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,95,15712,3/29/2020,Atlas Distribution Company
743,Midnight Family,13,42310,12/6/2020,1091 Media
744,Galapagos,14,18630372,10/29/2020,IMAX
745,Funan,5,15152,6/7/2020,GKIDS
746,El Angel,11,109608,11/9/2020,The Orchard
747,Wrinkles the Clown,21,14938,10/4/2020,Magnolia Pictures
748,ZZ Top: That Little Ol' Band from Texas,8,14879,8/19/2020,Abramorama
749,Frank and Ava,3,18829,12/7/2020,Hannover House
750,Our Time,4,14777,6/14/2020,Monument Releasing
751,The Competition2019 Re-release,7,15622,2/22/2020,Metrograph Pictures
752,Boy Erased,672,6788692,11/2/2020,Focus Features
753,Combat Obscura,11,14242,3/15/2020,Oscilloscope
754,Screwball,13,13967,3/29/2020,Greenwich Entertainment
755,Touch Me Not,1,13782,1/11/2020,Kino Lorber
756,My Son2019 Re-release,5,14450,5/10/2020,Cohen Media Group
757,This One's for the Ladies,21,13688,6/7/2020,-
758,First Man,3640,44936545,10/12/2020,Universal Pictures
759,The Cat Rescuers,3,31540,7/5/2020,Balcony Releasing
760,The House with a Clock in Its Walls,3592,68549695,9/21/2020,Universal Pictures
761,Rapid Response,10,13294,9/6/2020,Atlas Distribution Company
762,Hagazussa,14,13253,4/19/2020,Doppelganger Releasing
763,The Woman Who Loves Giraffes,22,113858,10/4/2020,Zeitgeist Films
764,Off Season,2,12544,3/15/2020,Indican Pictures
765,The White Sheik2019 re-release,3,50850,12/25/2020,Rialto Pictures
766,Journey to the South Pacific,19,7653913,11/27/2020,IMAX
767,Bricked,7,12201,1/24/2020,GathrFilms
768,Zen for Nothing,4,12107,3/29/2020,Zeitgeist Films
769,Imprisoned,2,12050,9/13/2020,Cinema Libre Studio
770,Quartet,1,12042,5/3/2020,Cohen Media Group
771,"Cassandro, The Exotico!",4,11897,7/19/2020,Film Movement
772,Liyana,4,44045,10/10/2020,Abramorama
773,The Charmer,3,26167,12/5/2020,Film Movement
774,The Disappearance of My Mother,3,24951,12/6/2020,Kino Lorber
775,Stuffed,3,15532,10/16/2020,Music Box Films
776,Vision Portraits,3,10771,8/9/2020,-
777,That Part Feeling - the Universe of Arvo Part,3,8812,6/3/2020,Film Movement
778,Between the Lines,18,15383,2/22/2020,Cohen Media Group
779,Yomeddine,4,11308,5/31/2020,Strand Releasing
780,In Like Flynn,27,11255,1/25/2020,Blue Fox Entertainment
781,Made Me Do It,2,11151,4/12/2020,Indican Pictures
782,Ferrante Fever,3,11137,3/8/2020,Greenwich Entertainment
783,I Do Not Care If We Go Down in History as Barbarians,2,11307,7/19/2020,Big World Pictures
784,Suburban Birds,3,10997,4/5/2020,The Cinema Guild
785,16 Bars,4,10985,11/8/2020,Lightyear Entertainment
786,If the Dancer Dances,6,10912,4/26/2020,Monument Releasing
787,Duet for Cannibals2019 re-release,4,12962,11/22/2020,Metrograph Pictures
788,Shooting the Mafia,3,10881,11/22/2020,Cohen Media Group
789,Angels Are Made Of Light,2,7919,7/26/2020,Grasshopper Film
790,Daughter of Mine,2,10628,2/1/2020,Strand Releasing
791,The Eyes of Orson Welles,2,10253,3/15/2020,Janus Films
792,Round of Your Life,9,20941,6/21/2020,Ammo Content
793,Around India with a Movie Camera,1,10389,11/30/2020,Icarus Films
794,Olivia,3,9934,8/16/2020,Icarus Films
795,Streetwise,1,9904,7/19/2020,Janus Films
796,Tyrel,5,21456,12/7/2020,Magnolia Pictures
797,Fritz Lang's Indian Epic2019 re-release,1,9345,9/27/2020,Film Movement
798,The Spanish Prisoner2019 Re-release,1,9589,4/26/2020,Ammo Content
799,Studio 54,14,199767,10/5/2020,Zeitgeist Films
800,When Lambs Become Lions,2,9337,11/22/2020,Oscilloscope
801,Cracked Up,1,9197,9/13/2020,Abramorama
802,Frantz Fanon: Black Skin White Mask,1,9025,3/15/2020,Film Movement
803,Colossal Youth,1,8331,8/3/2020,-
804,The Dead Center,10,8320,10/11/2020,Arrow Films
805,The Etruscan Smile2019 release,4,8213,11/8/2020,Lightyear Entertainment
806,Grass,2,8084,4/19/2020,The Cinema Guild
807,Wings of Desire2018 Re-release,4,123830,10/19/2020,Janus Films
808,This Magnificent Cake!,2,7888,3/1/2020,GKIDS
809,Ghost Fleet,7,7850,6/7/2020,Abramorama
810,The Plagiarists,1,7768,6/28/2020,-
811,Gregory's Girl,1,7710,10/4/2020,Film Movement
812,I'll Take Your Dead,5,10523,7/5/2020,Breakthrough Entertainment
813,King of Thieves,11,7518,1/25/2020,Saban Films
814,Life and Nothing More,6,24358,10/24/2020,CFI Releasing
815,Border,74,771930,10/26/2020,Neon
816,Beloved Beast,3,7301,10/11/2020,Indican Pictures
817,Rosie,2,6839,7/19/2020,Blue Fox Entertainment
818,Genesis,2,6784,8/23/2020,Film Movement
819,Going Attractions: The Definitive Story of the Movie Palace,6,6763,10/24/2020,-
820,Dying to Survive2019 Re-release,2,6752,8/9/2020,China Lion Film Distribution
821,Hollywould,2,11888,11/15/2020,Indican Pictures
822,"One Nation, One King",5,6576,2/28/2020,Distrib Films
823,"Monrovia, Indiana",14,63944,10/26/2020,Zipporah Films
824,Of Fathers and Sons,6,12579,11/16/2020,Kino Lorber
825,Under the Eiffel Tower,11,6291,2/8/2020,The Orchard
826,Patrick the Pug,100,6290,2/15/2020,-
827,To Be of Service,1,6173,11/1/2020,First Run
828,The Golden Glove,5,6160,9/27/2020,Strand Releasing
829,Relaxer,5,6133,3/29/2020,Oscilloscope
830,The Hottest August,2,9163,11/15/2020,Grasshopper Film
831,Kedarnath,113,901131,12/7/2020,-
832,The Meanest Man in Texas,3,8850,5/17/2020,Ammo Content
833,Love Goes Public,,5738,10/25/2020,Aspiration Entertainment
834,Série noire,1,5633,9/27/2020,Rialto Pictures
835,The Miracle of the Little Prince,1,5553,8/28/2020,Film Movement
836,Halloween,3990,159342015,10/19/2020,Universal Pictures
837,Spiral Farm,3,6517,12/13/2020,Indican Pictures
838,Anna and the Apocalypse,138,545597,11/30/2020,Orion Pictures
839,Chokehold,3,5200,3/1/2020,Ammo Content
840,Body at Brighton Rock,9,5123,4/26/2020,Magnolia Pictures
841,Intuitions,3,10606,10/25/2020,Indican Pictures
842,Cold Blood,25,5083,7/5/2020,Screen Media Films
843,Chulas Fronteras,1,5021,6/28/2020,Argot Pictures
844,The Garden,1,5006,5/29/2020,Kino Lorber
845,Malek,4,4898,1/18/2020,Entertainment One
846,Un traductor,2,13509,10/19/2020,Film Movement
847,Crepitus,2,4846,10/31/2020,Indican Pictures
848,Ballet Blanc,2,4832,11/8/2020,Indican Pictures
