Rank,Release,Theaters,Total Gross,Release Date,Distributor
93,Ralph Breaks the Internet,4017,201091711,11/21/2020,Disney
94,Fighting with My Family,2855,22958886,2/14/2020,Metro-Goldwyn-Mayer (MGM)
95,On the Basis of Sex,1957,24622687,12/25/2020,Focus Features
96,A Dog's Journey,3279,22782371,5/17/2020,Universal Pictures
97,Booksmart,2518,22680962,5/24/2020,United Artists Releasing
98,Parasite,2001,53369749,10/11/2020,Neon
99,Stuber,3050,22370452,7/12/2020,Twentieth Century Fox
100,47 Meters Down: Uncaged,2883,22260900,8/16/2020,Entertainment Studios Motion Pictures
101,Black and Blue,2062,22055313,10/25/2020,Screen Gems
102,Hellboy,3303,21903748,4/12/2020,Lionsgate
103,Shaft,2952,21360215,6/14/2020,Warner Bros.
104,Jojo Rabbit,1173,33370906,10/18/2020,Fox Searchlight Pictures
105,The Peanut Butter Falcon,1490,20457151,8/9/2020,Roadside Attractions
106,UglyDolls,3652,20150241,5/3/2020,STX Entertainment
107,Cats,3380,27166770,12/20/2020,Universal Pictures
108,Unplanned,1516,19005109,3/29/2020,Pure Flix Entertainment
109,The Favourite,1554,34366783,11/23/2020,Fox Searchlight Pictures
110,Bombshell,1721,31762808,12/13/2020,Lionsgate
111,Richard Jewell,2502,22345542,12/13/2020,Warner Bros.
112,Charlie's Angels,3452,17803077,11/15/2020,Sony Pictures Entertainment (SPE)
113,The Farewell,891,17695781,7/12/2020,A24
114,Brightburn,2607,17300439,5/24/2020,Screen Gems
115,The Good Liar,2454,17156058,11/15/2020,Warner Bros.
116,The Kid Who Would Be King,3528,16790790,1/25/2020,Twentieth Century Fox
117,Missing Link,3437,16649539,4/12/2020,United Artists Releasing
118,Second Act,2607,39282227,12/21/2020,STX Entertainment
119,Late Night,2220,15499454,6/7/2020,Amazon Studios
120,Miss Bala,2203,15006824,2/1/2020,Sony Pictures Entertainment (SPE)
121,The Prodigy,2530,14856291,2/8/2020,Orion Pictures
122,A Star Is Born,3904,215288866,10/5/2020,Warner Bros.
123,Poms,2750,13631124,5/10/2020,STX Entertainment
124,If Beale Street Could Talk,1018,14915773,12/14/2020,Annapurna Pictures
125,They Shall Not Grow Old,1335,17956913,12/17/2020,Warner Bros.
126,The Kitchen,2745,12180032,8/9/2020,Warner Bros.
127,After,2138,12138565,4/12/2020,Aviron Pictures
128,Blinded by the Light,2307,11901145,8/16/2020,Warner Bros.
129,The Lighthouse,978,10867104,10/18/2020,A24
130,Dark Waters,2112,11136084,11/22/2020,Focus Features
131,Greta,2417,10532219,3/1/2020,Focus Features
132,The Best of Enemies,1705,10205616,4/5/2020,STX Entertainment
133,Black Christmas,2625,10429730,12/13/2020,Universal Pictures
134,Hotel Mumbai,930,9651611,3/22/2020,Bleecker Street Media
135,Holmes & Watson,2780,30573626,12/25/2020,Sony Pictures Entertainment (SPE)
136,Motherless Brooklyn,1342,9277736,11/1/2020,Warner Bros.
137,No Manches Frida 2,472,9270920,3/15/2020,Pantelion Films
138,"Where'd You Go, Bernadette",2404,9198356,8/16/2020,United Artists Releasing
139,Apollo 11,588,9039891,3/1/2020,Neon
140,Serenity,2561,8547045,1/25/2020,Aviron Pictures
141,Anna,2114,7743794,6/21/2020,Lionsgate
142,Penguins,1815,7699452,4/17/2020,-
143,Brittany Runs a Marathon,1033,7189808,8/23/2020,Amazon Studios
144,Mary Queen of Scots,1052,16468499,12/7/2020,Focus Features
145,The Dead Don't Die,690,6563605,6/14/2020,Focus Features
146,Jexi,2332,6546159,10/11/2020,Lionsgate
147,Run the Race,1075,6424420,2/22/2020,Roadside Attractions
148,Free Solo,483,17541090,9/28/2020,National Geographic Entertainment
149,The Current War: Director's Cut,1082,5979540,10/25/2020,101 Studios
150,Captive State,2549,5958315,3/15/2020,Focus Features
151,The Wandering Earth,129,5971413,2/5/2020,CMC Pictures
152,Arctic Dogs,2844,5801249,11/1/2020,Entertainment Studios Motion Pictures
153,Gloria Bell,1127,5611123,3/8/2020,A24
154,Gully Boy,270,5566534,2/14/2020,Viva Pictures
155,Stan & Ollie,754,5470235,12/28/2020,Sony Pictures Classics
156,The Goldfinch,2542,5332621,9/13/2020,Warner Bros.
157,Don't Let Go,922,5215062,8/30/2020,-
